ID,DamageReplaceStatF,DamageSecondaryF,DamageReplaceStat,DamageSecondary,EpicF[0],EpicF[1],EpicF[2],EpicF[3],EpicF[4],SuperiorF[0],SuperiorF[1],SuperiorF[2],SuperiorF[3],SuperiorF[4],GoodF[0],GoodF[1],GoodF[2],GoodF[3],GoodF[4],Epic[0],Epic[1],Epic[2],Epic[3],Epic[4],Superior[0],Superior[1],Superior[2],Superior[3],Superior[4],Good[0],Good[1],Good[2],Good[3],Good[4]
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.11597808,0.11597808,0,0,1.9811202,1.4858402,1.1143801,0.9905601,0.9905601,1.9811202,1.4858402,1.1143801,0.9905601,0.9905601,1.9811202,1.4858402,1.1143801,0.9905601,0.9905601,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
5,0.14396408,0.14396408,0,0,2.3665328,1.7748996,1.3311746,1.1832664,1.1832664,2.3665328,1.7748996,1.3311746,1.1832664,1.1832664,2.3665328,1.7748996,1.3311746,1.1832664,1.1832664,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1
6,0.1734601,0.1734601,0,0,2.7478826,2.060912,1.545684,1.3739413,1.3739413,2.7478826,2.060912,1.545684,1.3739413,1.3739413,2.7478826,2.060912,1.545684,1.3739413,1.3739413,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1
7,0.20690751,0.20690751,0,0,3.1629174,2.372188,1.7791411,1.5814587,1.5814587,3.1629174,2.372188,1.7791411,1.5814587,1.5814587,3.1629174,2.372188,1.7791411,1.5814587,1.5814587,3,2,1,1,1,3,2,1,1,1,3,2,1,1,1
8,0.21510002,0.21510002,0,0,3.2881532,2.4661148,1.8495861,1.6440766,1.6440766,3.2881532,2.4661148,1.8495861,1.6440766,1.6440766,3.2881532,2.4661148,1.8495861,1.6440766,1.6440766,3,2,1,1,1,3,2,1,1,1,3,2,1,1,1
9,0.2501454,0.2501454,0,0,3.6944551,2.7708414,2.078131,1.8472276,1.8472276,3.6944551,2.7708414,2.078131,1.8472276,1.8472276,3.6944551,2.7708414,2.078131,1.8472276,1.8472276,3,2,2,1,1,3,2,2,1,1,3,2,2,1,1
10,0.25610793,0.25610793,0,0,3.782517,2.8368878,2.1276658,1.8912585,1.8912585,3.782517,2.8368878,2.1276658,1.8912585,1.8912585,3.782517,2.8368878,2.1276658,1.8912585,1.8912585,3,2,2,1,1,3,2,2,1,1,3,2,2,1,1
