ID,Name_lang,ResourceName_lang,Verb_lang,CursorName,EnumID
1,Lockpicking,Locked Items,Pick,PickLock,0
2,Herbalism,Herbs,Gather,GatherHerbs,1
3,Mining,Ore Deposits,Mine,Mine,2
4,Disarm Trap,Trap,Disarm,,3
5,Open,Unlocked Items,Open,,4
6,Treasure (DND),Treasure,,,5
7,Calcified Elven Gems (DND),Calcified Elven Gems,,,6
8,Close,Unlocked Items,Close,,7
9,Arm Trap,Trap,Arm,,8
10,Quick Open,Unlocked Items,Open,,9
11,Quick Close,Unlocked Items,Close,,10
12,Open Tinkering,Unlocked Items,Open,,11
13,Open Kneeling,Unlocked Items,Open,,12
14,Open Attacking,Unlocked Items,Open,,13
15,Gahz'ridian (DND),Gahz'ridian,,,14
16,Blasting,Locked Items,Blast,,15
17,PvP Open,Unlocked Items,Open,,16
18,PvP Close,Unlocked Items,Close,,17
19,Fishing (DND),Fish,Fish,FishingCursor,18
20,Inscription,Tomes,Decipher,,19
21,Open From Vehicle,Unlocked Items,Open,,20
22,Archaeology,Fragments,Survey,,21
23,PvP Open Fast,Unlocked Items,Open,,22
28,Lumber Mill,Timber,Harvest,HarvestTimber,23
29,Skinning,Leather,Skin,skin,24
30,Ancient Mana,Mana Deposits,Extract,Extract,25
31,Warboard,Warboards,Inspect,,26
32,Herbalism,Herbs,Gather,GatherHerbs,27
33,Herbalism,Herbs,Gather,GatherHerbs,28
34,Herbalism,Herbs,Gather,GatherHerbs,29
35,Herbalism,Herbs,Gather,GatherHerbs,30
36,Herbalism,Herbs,Gather,GatherHerbs,31
37,Herbalism,Herbs,Gather,GatherHerbs,32
38,Herbalism,Herbs,Gather,GatherHerbs,33
39,Herbalism,Herbs,Gather,GatherHerbs,34
40,Mining,Ore Deposits,Mine,Mine,35
41,Mining,Ore Deposits,Mine,Mine,36
42,Mining,Ore Deposits,Mine,Mine,37
43,Mining,Ore Deposits,Mine,Mine,38
44,Mining,Ore Deposits,Mine,Mine,39
45,Mining,Ore Deposits,Mine,Mine,40
46,Mining,Ore Deposits,Mine,Mine,41
47,Mining,Ore Deposits,Mine,Mine,42
48,Skinning,Leather,Skin,skin,43
149,Open (Locked Inventory Item Opening),Unlocked Items,Open,,44
150,Foraging,Forage,Forage,ForagePlants,45
152,Jelly Deposit,Jelly,Gather,,46
153,Herbalism,Herbs,Gather,GatherHerbs,47
155,Mining,Ore Deposits,Mine,Mine,48
157,Covenant: Night Fae,Unlocked Items,Open,,49
158,Covenant: Venthyr,Unlocked Items,Open,,50
159,Covenant: Kyrian,Unlocked Items,Open,,51
160,Covenant: Necrolord,Unlocked Items,Open,,52
161,Profession: Engineering,,Deactivate,,53
166,Herbalism,Herbs,Gather,GatherHerbs,56
167,Mining,Ore Deposits,Mine,Mine,57
